"title","company","industry","job_desc","link"
"Digital Insights Analyst","SEEK Limited","Information & Communication Technology","Own analytics across Certsy including digital analysis for four product squads, operational insights & reporting and strategic business analysis.","seek.com.au/job/51795464?type=standout#searchRequestToken=025d9b96-5b30-4228-9a8e-c3e3ac680e04"
"BI Specialist","Orora","Information & Communication Technology","If you have a passion for building relationships, working cross-functionally, and unlocking business value through data & insights, this could be the","seek.com.au/job/51838633?type=standout#searchRequestToken=025d9b96-5b30-4228-9a8e-c3e3ac680e04"
"Data Scientist - Revenue Strategy","Mars Australia","Science & Technology","Large consumer goods company, home of Snickers & Skittles, great career development, loads of flexibility, work with engaged people","seek.com.au/job/51863732?type=standout#searchRequestToken=025d9b96-5b30-4228-9a8e-c3e3ac680e04"
"Marketing Data Analyst","Amber Electric","Marketing & Communications","We’re looking for an Analyst who is excited to apply their analytical & problem-solving skills to drive decision-making in marketing & the business.","seek.com.au/job/51796602?type=standard#searchRequestToken=025d9b96-5b30-4228-9a8e-c3e3ac680e04"
"IT Data / BI Analyst","Knight Frank","Information & Communication Technology","If you are driven by problem solving and interested in commercial real estate - then keep reading!","seek.com.au/job/51816397?type=standout#searchRequestToken=025d9b96-5b30-4228-9a8e-c3e3ac680e04"
"HR Systems and Reporting Analyst","Metro Trains Melbourne","Information & Communication Technology","Bring your PowerBI, HR systems experience along with your strong analytical skillset experience to this challenging position.","seek.com.au/job/51823285?type=standout#searchRequestToken=e8c22200-2d44-445c-8d2f-fff146541407"
"PowerBI Analyst","sportsbet.com.au","Banking & Financial Services","A great opportunity to business partner with various departments across Sportsbet as we enable our team to make data driven decisions.","seek.com.au/job/51849356?type=standout#searchRequestToken=e8c22200-2d44-445c-8d2f-fff146541407"
"Data Science Consultant","Rubix Solutions Pty Ltd","Information & Communication Technology","Rubix Solutions is seeking a Data Science Consultant for a permanent opportunity working with a global consultancy firm.","seek.com.au/job/51796540?type=standout#searchRequestToken=e8c22200-2d44-445c-8d2f-fff146541407"
"Data Scientist","FourQuarters Recruitment","Information & Communication Technology","Looking for a senior Data Scientist who has a passion for building exciting models to develop a capability","seek.com.au/job/51797350?type=standard#searchRequestToken=e8c22200-2d44-445c-8d2f-fff146541407"
"Insights Analyst - Health Management","Australian Unity","Consulting & Strategy","This new role will support the team in undertaking data analysis and research to inform strategic decisioning and operational opportunities.","seek.com.au/job/51773872?type=standout#searchRequestToken=e8c22200-2d44-445c-8d2f-fff146541407"
"Product Data Analyst","ReeceTech","Information & Communication Technology","Customer-facing analyst with a products mindset and a data background. Reviews product strategy at a high-level and creates data insights and metrics.","seek.com.au/job/51787290?type=standout#searchRequestToken=e8c22200-2d44-445c-8d2f-fff146541407"
"Data Engineer","Halcyon Knights Pty Ltd","Information & Communication Technology","Seeking strong Data Engineer to develop/maintain data marts and deliver new/existing products. A unique and highly-competitive opportunity.","seek.com.au/job/51861667?type=standout#searchRequestToken=e8c22200-2d44-445c-8d2f-fff146541407"
"Analytics Consultant","illion Australia & New Zealand","Information & Communication Technology","We currently have an exciting opportunity for a passionate and energetic Data professional to join our team as an Analytics Consultant","seek.com.au/job/51792669?type=standard#searchRequestToken=e8c22200-2d44-445c-8d2f-fff146541407"
"Data Analytics Consultant","Peoplebank Australia VIC","Information & Communication Technology","Seeking a Data Analyst with a background coming from Professional Services or Consulting to work with Data Analytics and Visualisation Technologies.","seek.com.au/job/51766461?type=standout#searchRequestToken=e8c22200-2d44-445c-8d2f-fff146541407"
"Ecommerce Analyst","Michael Page","Marketing & Communications","To pull data and insights from web and digital marketing to provide actionable CRO initiatives.","seek.com.au/job/51866937?type=standard#searchRequestToken=e8c22200-2d44-445c-8d2f-fff146541407"
"BI Developer","Paxus","Information & Communication Technology","Enhance the data and analytics platform to create a strong, trusted and sustainable data foundation and information delivery service.","seek.com.au/job/51851139?type=standout#searchRequestToken=e8c22200-2d44-445c-8d2f-fff146541407"
"Business Intelligence Analyst","Openpay Pty Ltd","Banking & Financial Services","In this role you will be in charge of developing, deploying, and maintaining BI interfaces.","seek.com.au/job/51740170?type=standard#searchRequestToken=e8c22200-2d44-445c-8d2f-fff146541407"
"Category & Insights Analyst","Miller Leith","Marketing & Communications","A brand-new Category & Insights Analyst role for a leading FMCG brand, to support strategic development, innovation and growth.","seek.com.au/job/51852433?type=standout#searchRequestToken=e8c22200-2d44-445c-8d2f-fff146541407"
"Power BI Reporting Analyst","Momentum Energy","Information & Communication Technology","Bring in-depth Power BI experience and deliver reporting that enables data-driven decision making.","seek.com.au/job/51789194?type=standout#searchRequestToken=e8c22200-2d44-445c-8d2f-fff146541407"
"Data Engineer","MYOB","Information & Communication Technology","You will build and take ownership of the platform that will enable the business to gain insights into their data and make better decisions.","seek.com.au/job/51765660?type=standout#searchRequestToken=e8c22200-2d44-445c-8d2f-fff146541407"
"Senior Analyst - Data Operations","Australian Prudential Regulation Authority","Banking & Financial Services","An opportunity exists for a motivated, innovative and experienced analyst to join our Data Analytics and Insights team.","seek.com.au/job/51792303?type=standout#searchRequestToken=e8c22200-2d44-445c-8d2f-fff146541407"
"Data Scientist","Talent Insights Group Pty Ltd","Information & Communication Technology","Do you see yourself being part of one of Australia's leading Data Science teams?","seek.com.au/job/51776887?type=standout#searchRequestToken=e8c22200-2d44-445c-8d2f-fff146541407"
"Business Analyst","Vocus","Consulting & Strategy","Work closely with the wider delivery team and business stakeholders to define business requirements and translate them for technical delivery","seek.com.au/job/51876015?type=standout#searchRequestToken=e8c22200-2d44-445c-8d2f-fff146541407"
"Data Scientist","Shell Energy","Information & Communication Technology","Contribute to the development and improvement of digital products and assist customers reduce energy costs through advisory services.","seek.com.au/job/51780319?type=standout#searchRequestToken=e8c22200-2d44-445c-8d2f-fff146541407"
"Data Analyst - Risk","HCL Australia Services Pty Ltd","Information & Communication Technology","Looking for an experienced end to end focused data expert","seek.com.au/job/51741266?type=standard#searchRequestToken=8e80b894-57bd-4d13-a50b-897e155459df"
"Data Warehouse Developer","Servian Pty Ltd","Information & Communication Technology","Our team is growing and our clients are loving the solutions we create. We want you to be part of our rapidly expanding business!","seek.com.au/job/51872247?type=standout#searchRequestToken=8e80b894-57bd-4d13-a50b-897e155459df"
"Data Engineer","Findex","Information & Communication Technology","Are you an experienced data pipeline builder and data wrangler who enjoys optimizing data systems and building them from the ground up?? Apply Now!","seek.com.au/job/51830651?type=standout#searchRequestToken=8e80b894-57bd-4d13-a50b-897e155459df"
"Head of Data Analytics and Insights","City of Melbourne","Government & Defence","Empower our Community, Council and Staff to make evidence-based decisions through the provision of data, analytics and insights as a CoM leader","seek.com.au/job/51837522?type=standout#searchRequestToken=8e80b894-57bd-4d13-a50b-897e155459df"
"Data Scientist","MCS Consulting","Science & Technology","Looking to create innovative and high quality software to analyse data from a variety of Big Data sources used by the military? Small & growing team.","seek.com.au/job/51737526?type=standard#searchRequestToken=8e80b894-57bd-4d13-a50b-897e155459df"
"Commercial & Insights Analyst","ThompsonCook | We Only Do Accounting","Accounting","An opportunity for an ambitious Commercial & Insights Analyst to join a leading ASX listed business.","seek.com.au/job/51838878?type=standard#searchRequestToken=8e80b894-57bd-4d13-a50b-897e155459df"
"Senior Analyst - Data Analytics","KPMG Australia","Information & Communication Technology","Join a fast paced national firm wide servicing Data Analytics position","seek.com.au/job/51714062?type=standout#searchRequestToken=8e80b894-57bd-4d13-a50b-897e155459df"
"Senior Database Analyst","Robert Walters","Information & Communication Technology","Amazing benefits of working in healthcare - salary packaging AND living expenses worth about $25k on top of salary PLUS extra 13 days off per year.","seek.com.au/job/51862520?type=standard#searchRequestToken=8e80b894-57bd-4d13-a50b-897e155459df"
"Data Engineer","GRANITE CONSULTING","Information & Communication Technology","We're looking for talented senior data engineer to work on Data Warehouse BI & Analytics","seek.com.au/job/51799477?type=standard#searchRequestToken=8e80b894-57bd-4d13-a50b-897e155459df"
"Business Intelligence & Visualisation Specialists (Multiple Opportunities)","DFP Recruitment","Information & Communication Technology","Business Intelligence and Visualisation - Multiple Opportunities - Federal Government - Melbourne or Sydney!","seek.com.au/job/51863615?type=standard#searchRequestToken=8e80b894-57bd-4d13-a50b-897e155459df"
"Power BI Developer","Bluefin Resources Pty Limited","Information & Communication Technology","Experienced Power BI Business Intelligence Developer required for 12-month, fixed-term contract role for Utilities organisation based in Melbourne CBD","seek.com.au/job/51791004?type=standard#searchRequestToken=8e80b894-57bd-4d13-a50b-897e155459df"
"Master Data Analyst- SAP","VISY","Information & Communication Technology","Are you an experienced SAP Master Data Analyst ready for an impactful and outcome focused role? Apply your expertise in this 12months fixed term role!","seek.com.au/job/51799746?type=standout#searchRequestToken=8e80b894-57bd-4d13-a50b-897e155459df"
"Data Analyst","SALT SEARCH PTY LTD","Information & Communication Technology","Act directly on behalf of our Customers as a contributor in a high-performance team of data engineers, data scientists, and analysts.","seek.com.au/job/51671078?type=standout#searchRequestToken=8e80b894-57bd-4d13-a50b-897e155459df"
"Business Analyst","HOBAN Recruitment","Government & Defence","Multiple roles on offer on a temporary or permanent basis!","seek.com.au/job/51855548?type=standard#searchRequestToken=8e80b894-57bd-4d13-a50b-897e155459df"
"Financial Planning Analyst - Power BI","Konnexus","Accounting","Combine your BI and Finance skills and play a key role in driving operational efficiencies and insightful analysis across this dynamic organisation.","seek.com.au/job/51840202?type=standard#searchRequestToken=8e80b894-57bd-4d13-a50b-897e155459df"
"Technology Business Analyst","IAG","Information & Communication Technology","Are you a Technical Business Analyst with Enterprise Content experience?","seek.com.au/job/51864665?type=standard#searchRequestToken=8e80b894-57bd-4d13-a50b-897e155459df"
"Senior Analytics Specialist","Annalect","Information & Communication Technology","Annalect - Omnicom Media Group","seek.com.au/job/51774599?type=standard#searchRequestToken=8e80b894-57bd-4d13-a50b-897e155459df"
"Project Manager - Data","Halcyon Knights Pty Ltd","Information & Communication Technology","We're proud to be working with one of Australia's leading retailers to support the ongoing development of their data platform!","seek.com.au/job/51818114?type=standout#searchRequestToken=8e80b894-57bd-4d13-a50b-897e155459df"
"Energy Analyst","Phillip Riley","Mining, Resources & Energy","An exciting opportunity to a leading Global client in their Energy Markets team as an experienced Energy Markets Analyst","seek.com.au/job/51826383?type=standout#searchRequestToken=8e80b894-57bd-4d13-a50b-897e155459df"
"Data Analytics Team Leader","Sirius Technology Melbourne part of Sirius People Pty Ltd","Information & Communication Technology","Azure, Power BI, salary packaging, Great team","seek.com.au/job/51795069?type=standard#searchRequestToken=e0ac32af-6781-44e8-b070-aabc1b4a527f"
"Principal Data Engineer - Data Services","SEEK Limited","Information & Communication Technology","Key role developing data collection, processing and delivery systems to enable predictive analytics, data science and business intelligence","seek.com.au/job/51841460?type=standout#searchRequestToken=e0ac32af-6781-44e8-b070-aabc1b4a527f"
"Data Analyst","Australian Energy Market Operator (AEMO)","Mining, Resources & Energy","Great opportunity to enter the Energy industry and be supported in your growth! Mix of BAU and Project work","seek.com.au/job/51675278?type=standard#searchRequestToken=e0ac32af-6781-44e8-b070-aabc1b4a527f"
"Senior Analytics Specialist","AGL Energy Ltd","Accounting","Love working with data and providing business insights? Well this is a great opportunity to add value.","seek.com.au/job/51797102?type=standout#searchRequestToken=e0ac32af-6781-44e8-b070-aabc1b4a527f"
"Business Intelligence & Analytics Consultant","LightArc Pty Ltd","Information & Communication Technology","Seeking a Business Intelligence & Analytics Consultant with outstanding technical skills and team values to work across multiple projects.","seek.com.au/job/51859395?type=standard#searchRequestToken=e0ac32af-6781-44e8-b070-aabc1b4a527f"
"Senior Analyst, Research Data & Operations","Suncorp","Marketing & Communications","• An exciting opportunity to support development of the customer experience measurement platform and the delivery of customer insights and reporting.","seek.com.au/job/51754792?type=standard#searchRequestToken=e0ac32af-6781-44e8-b070-aabc1b4a527f"
"Lead Consultant - Data Scientist","Capgemini Australia Pty Ltd","Consulting & Strategy","Are you passionate about Data Science, state of the art projects, developing models, and guiding implementations & strategy in a leading-edge teams?","seek.com.au/job/51864332?type=standout#searchRequestToken=e0ac32af-6781-44e8-b070-aabc1b4a527f"
"Power BI Developer","DialogIT","Information & Communication Technology","Dialog is seeking a Power Business Intelligence Developer for a critical project with one of our large enterprise clients.","seek.com.au/job/51812860?type=standout#searchRequestToken=e0ac32af-6781-44e8-b070-aabc1b4a527f"
"Senior Market Analyst","CSIRO","Government & Defence","The CSIRO Insights team are seeking an experienced & motivated market analyst. If you are looking for your next challenge don't miss out, apply today!","seek.com.au/job/51856307?type=standout#searchRequestToken=e0ac32af-6781-44e8-b070-aabc1b4a527f"
"Strategic Racing Analyst","Racing Victoria Ltd","Sport & Recreation","Do you have experience in intelligence and analysis and keen to join a leading sporting industry?","seek.com.au/job/51857483?type=standout#searchRequestToken=e0ac32af-6781-44e8-b070-aabc1b4a527f"
"Data Analyst","Hallis","Information & Communication Technology","Get stuff done in this high growth business and be rewarded for using your data skills.","seek.com.au/job/51659302?type=standout#searchRequestToken=e0ac32af-6781-44e8-b070-aabc1b4a527f"
"Data Scientist","Insitec Pty Ltd","Information & Communication Technology","Data Scientist to bring data sources to a ""greenfields"" development of a geospatial app and develop the data model of the multi-tenant backend Plus ++","seek.com.au/job/51706806?type=standard#searchRequestToken=e0ac32af-6781-44e8-b070-aabc1b4a527f"
"Data Scientist","InfoCentric Pty Ltd","Information & Communication Technology","Utilise your strong Data Science experience and expertise on Forecasting or Optimisation Algorithms in this perm role working on exciting projects","seek.com.au/job/51715008?type=standard#searchRequestToken=e0ac32af-6781-44e8-b070-aabc1b4a527f"
"Senior Analyst - External Data Reporting","Australian Prudential Regulation Authority","Banking & Financial Services","Opportunity to join the Data Analytics & Insights business unit; help drive and deliver on the future vision for APRA's external data publications.","seek.com.au/job/51754761?type=standout#searchRequestToken=e0ac32af-6781-44e8-b070-aabc1b4a527f"
"Manager, Performance Analytics","CQV","Government & Defence","Provide leadership for the data analysts team to drive performance analysis within CQV","seek.com.au/job/51835617?type=standard#searchRequestToken=e0ac32af-6781-44e8-b070-aabc1b4a527f"
"Data Scientist","Patterson Cheney Cars and Trucks","Information & Communication Technology","Patterson Cheney is looking for a skilled and passionate data scientist to take on this exiting role and continue the great work already achieved.","seek.com.au/job/51760562?type=standout#searchRequestToken=e0ac32af-6781-44e8-b070-aabc1b4a527f"
"Business Development Analyst","Bunnings Limited","Accounting","The Business Development Analyst is a key stakeholder to ensure optimal commercial outcomes are achieved for capital expenditure projects.","seek.com.au/job/51834368?type=standard#searchRequestToken=e0ac32af-6781-44e8-b070-aabc1b4a527f"
"Business Analyst","Michael Page Procurement & Supply Chain","Manufacturing, Transport & Logistics","This role is business critical and will provide analytical support to the Supply Chain function as they embark on an exciting transformation process.","seek.com.au/job/51861090?type=standard#searchRequestToken=e0ac32af-6781-44e8-b070-aabc1b4a527f"
"Big Data Consultant","RUBIX","Information & Communication Technology","Thinking back 12 months ago, it is hard to believe we have so many opportunities for Big Data Consultants. Join us at our Data specific consulting org","seek.com.au/job/51788210?type=standout#searchRequestToken=cc987315-88fa-4621-9806-560315fa15cf"
"Senior Data Analyst","Talent Insights Group Pty Ltd","Information & Communication Technology","Imagine working for one of Australias top four banks, leading the way in terms of using Data to drive a more digital future.","seek.com.au/job/51708446?type=standout#searchRequestToken=cc987315-88fa-4621-9806-560315fa15cf"
"Senior Insights and Data Analyst","Tandem","Information & Communication Technology","Tandem are seeking an experienced Senior Insights and Data Analyst to join the team.","seek.com.au/job/51793343?type=standard#searchRequestToken=cc987315-88fa-4621-9806-560315fa15cf"
"Business Analyst","Hansen Technologies","Information & Communication Technology","Are you an experienced BA with knowledge of CIS or Billing Systems, then this is a great opportunity to join our collaborative global team.","seek.com.au/job/51832330?type=standard#searchRequestToken=cc987315-88fa-4621-9806-560315fa15cf"
"Senior Analyst - Business Data Reporting","Australian Prudential Regulation Authority","Banking & Financial Services","Contribute to the redesign of APRA's internal reporting suite as APRA delivers a multi-year project to transform our data-enabled decision making.","seek.com.au/job/51754442?type=standout#searchRequestToken=cc987315-88fa-4621-9806-560315fa15cf"
"Senior Support Analyst Power BI - Insights","Coles","Information & Communication Technology","Exciting Power BI Intergration project.This reuquires extensive ETL and Data Warhousing experience working on cutting edge technoology.","seek.com.au/job/51835745?type=standard#searchRequestToken=cc987315-88fa-4621-9806-560315fa15cf"
"Senior Quantitative Analyst","Randstad - Banking & Finance","Banking & Financial Services","Permanent position for a Market Risk Quant to join a lead Australian bank that can offer great career progression","seek.com.au/job/51843677?type=standard#searchRequestToken=cc987315-88fa-4621-9806-560315fa15cf"
"Data Scientist","CSL Limited","Science & Technology","Work alongside bioprocess development subject matter experts and in doing so, contribute to cutting-edge scientific development.","seek.com.au/job/51719050?type=standout#searchRequestToken=cc987315-88fa-4621-9806-560315fa15cf"
"Sales Operations Analyst","MYOB","Sales","Contribute to the direction of MYOB's sales strategy and the online transformation of its product platform!","seek.com.au/job/51824580?type=standout#searchRequestToken=cc987315-88fa-4621-9806-560315fa15cf"
"Roads Data and Systems Specialist","Department of Transport","Government & Defence","Creating More Roads Space Project","seek.com.au/job/51801749?type=standout#searchRequestToken=cc987315-88fa-4621-9806-560315fa15cf"
"Technical Business Analyst","NAB","Information & Communication Technology","Based in the Technology Home Ownership team you will provide technology based services to meet business needs","seek.com.au/job/51873669?type=standout#searchRequestToken=cc987315-88fa-4621-9806-560315fa15cf"
"Customer Insights Analyst (Marketing Automation)","MYOB","Marketing & Communications","Provide end to end campaign support, reporting, and insights to help drive campaign efficiency and optimisation.","seek.com.au/job/51716093?type=standout#searchRequestToken=cc987315-88fa-4621-9806-560315fa15cf"
"Data Engineer","Cognizant Technology Solutions Australia Pty Ltd","Information & Communication Technology","Join Cognizant as a Senior Associate; collaborate with our experienced Engineering teams on exciting client projects!","seek.com.au/job/51803754?type=standout#searchRequestToken=cc987315-88fa-4621-9806-560315fa15cf"
"Business Analyst","IMA Management and Technology","Information & Communication Technology","Join the IMA team! We have various exciting roles in various Melbourne locations coming up.","seek.com.au/job/51847266?type=standout#searchRequestToken=cc987315-88fa-4621-9806-560315fa15cf"
"Azure Data & Analytics Engineer","Altis Consulting","Information & Communication Technology","Are you passionate about using data and information to deliver tangible business outcomes?","seek.com.au/job/51610452?type=standout#searchRequestToken=cc987315-88fa-4621-9806-560315fa15cf"
"Procurement Data Analyst - Billing transformation","Peoplebank Australia VIC","Information & Communication Technology","Our client is a leader in there Industry. Due to a procurement and billing transformation we require a Procurement Data Analyst to join the team.","seek.com.au/job/51755944?type=standout#searchRequestToken=cc987315-88fa-4621-9806-560315fa15cf"
"Data Engineer & Analytics","Seqirus","Information & Communication Technology","reviewing / analysing business processes, creating efficiencies, be part of project teams and communicating technical information back to the business","seek.com.au/job/51690463?type=standout#searchRequestToken=cc987315-88fa-4621-9806-560315fa15cf"
"Senior Load Forecasting Analyst","AGL Energy Ltd","Mining, Resources & Energy","Join a high performing forecasting team and make an impact!","seek.com.au/job/51861040?type=standout#searchRequestToken=cc987315-88fa-4621-9806-560315fa15cf"
"Team Leader, Payroll Reporting, Analytics & Insight","Woolworths Group","Accounting","Lead our Payroll Reporting, Analytics and Insight Team in this exciting Brisbane based role.","seek.com.au/job/51822899?type=standout#searchRequestToken=cc987315-88fa-4621-9806-560315fa15cf"
"Technical Business Analyst - Power BI","Sirius Technology Melbourne part of Sirius People Pty Ltd","Information & Communication Technology","Greenfield data environment - strong team, be bridge between business and tech team. #Powerbi","seek.com.au/job/51735877?type=standard#searchRequestToken=fe01b31e-c872-4a15-ac63-18905f4d6be7"
"Data Engineer","FourQuarters Recruitment","Information & Communication Technology","Long term FTC Data Engineer","seek.com.au/job/51746673?type=standard#searchRequestToken=fe01b31e-c872-4a15-ac63-18905f4d6be7"
"Senior Data Standards Analyst","Education Services Australia","Information & Communication Technology","eResearch role to use your data modelling expertise to work on Interoperability programs in the Australian school sector. Opportunity to WFH & office.","seek.com.au/job/51745131?type=standard#searchRequestToken=fe01b31e-c872-4a15-ac63-18905f4d6be7"
"Data - Business Analyst","Aurec","Information & Communication Technology","This utility organisation is looking for an experienced Business Analyst with experience in Data to support an innovative project.","seek.com.au/job/51686913?type=standard#searchRequestToken=fe01b31e-c872-4a15-ac63-18905f4d6be7"
"Platform Analyst","ANZ","Information & Communication Technology","Design, build & maintain technical roadmap capability for the Platform Engineering team that enables input and transparency across engineering teams.","seek.com.au/job/51852650?type=standout#searchRequestToken=fe01b31e-c872-4a15-ac63-18905f4d6be7"
"Principal Consultant - Data & AI","Contino","Information & Communication Technology","The Consulting team at Contino are looking for a Principal Consultant to come on board as we continue to grow throughout the APAC region.","seek.com.au/job/51841086?type=standout#searchRequestToken=fe01b31e-c872-4a15-ac63-18905f4d6be7"
"Data Platform Lead","Talent – SEEK Recruitment Agency of the Year | 7 Time Winner","Information & Communication Technology","An Enterprise Data Platform Lead is required to join an iconic Australian organisation to lead the building of a multi-tenant data platform.","seek.com.au/job/51847543?type=standout#searchRequestToken=fe01b31e-c872-4a15-ac63-18905f4d6be7"
"Business Intelligence Integration Developer","Department of Justice and Community Safety","Government & Defence","Exciting Fixed Term VPS 5 Opportunity within Technology Solutions","seek.com.au/job/51800427?type=standard#searchRequestToken=fe01b31e-c872-4a15-ac63-18905f4d6be7"
"Production Support Analyst","GOW Recruitment","Information & Communication Technology","Global player in providing bespoke technology services (cloud computing) to the finance sector looking for Production Support Analysts.","seek.com.au/job/51834313?type=standard#searchRequestToken=fe01b31e-c872-4a15-ac63-18905f4d6be7"
"Data Engineer","Troocoo","Information & Communication Technology","Permanent opportunity for experienced Data Engineer within well known Consulting house. Role based in either Sydney or Melbourne. Azure experience a m","seek.com.au/job/51725072?type=standout#searchRequestToken=fe01b31e-c872-4a15-ac63-18905f4d6be7"
"BI Applications Specialist","Private Advertiser","Information & Communication Technology","Exciting role for BI Applications Specialist to work on cloud-based data and analytics platform play key role. WFH and flexible arrangements on offer","seek.com.au/job/51797619?type=standard#searchRequestToken=fe01b31e-c872-4a15-ac63-18905f4d6be7"
"Data Privacy Specialist - Perth/ Brisbane (relocation support provided)","BHP","Accounting","Excellent opportnity to join a new team in a fast growing niche function.","seek.com.au/job/51876007?type=standout#searchRequestToken=fe01b31e-c872-4a15-ac63-18905f4d6be7"
"Initiatives Analyst","ANZ","Consulting & Strategy","Join a team that provides value added solutions to enhance employee experience at ANZ","seek.com.au/job/51864132?type=standout#searchRequestToken=fe01b31e-c872-4a15-ac63-18905f4d6be7"
"Senior Research Data Analyst","Australian Industry Group","Education & Training","Join a team that drives bold new thinking on education & training in the context of work. Have a genuine sense of belonging & individual achievement","seek.com.au/job/51723870?type=standout#searchRequestToken=fe01b31e-c872-4a15-ac63-18905f4d6be7"
"Systems Analyst","CircuIT Recruitment Group","Information & Communication Technology","International software organisation| Agile enviornment| Work closely with the software development and Product Teams.","seek.com.au/job/51789469?type=standard#searchRequestToken=fe01b31e-c872-4a15-ac63-18905f4d6be7"
"Functional Analyst","DialogIT","Information & Communication Technology","Dialog requires a Functional Analyst with experience in Agile delivery, Advanced Excel, SQL and Business Intelligence projects.","seek.com.au/job/51746729?type=standout#searchRequestToken=fe01b31e-c872-4a15-ac63-18905f4d6be7"
"Senior Business Insights Analyst","MYOB","Sales","Bring your superior analytics & business intelligence skills to the team as a key input for decisions & opportunities to Operational leaders here!","seek.com.au/job/51796876?type=standout#searchRequestToken=fe01b31e-c872-4a15-ac63-18905f4d6be7"
"Digital Insights Analyst","REA Group","Marketing & Communications","The Digital Insights Analyst - Consumer Growth role sits within the Consumer Product & Experience team, headed up by Consumer CPO, Val Brown.","seek.com.au/job/51679454?type=standout#searchRequestToken=fe01b31e-c872-4a15-ac63-18905f4d6be7"
"Data Migration Consultant","Astral Consulting Services Pty Ltd","Information & Communication Technology","Astral provide a Continuous Professional Development program to build on  current foundation skills to include more functional related capability.","seek.com.au/job/51811769?type=standout#searchRequestToken=fe01b31e-c872-4a15-ac63-18905f4d6be7"
"Data Quality Business Analyst","JLL","Information & Communication Technology","Do you love bridging your technical prowess with your ability to talk to the business?","seek.com.au/job/51654510?type=standout#searchRequestToken=47aa81a1-bd28-483f-8cfa-07c60117ea21"
"Pricing Analyst","Goodyear & Dunlop Tyres","Retail & Consumer Products","We currently have an exciting opportunity available within our Pricing team for a Pricing Analyst.","seek.com.au/job/51734107?type=standout#searchRequestToken=47aa81a1-bd28-483f-8cfa-07c60117ea21"
